Initializing internal log file.
[L749 | GlobalMethods.cs] 12:26:16 PM: Initializing application.
[L751 | GlobalMethods.cs] 12:26:16 PM: Created sims 2 type list.
[L753 | GlobalMethods.cs] 12:26:16 PM: Created sims 3 type list.
[L755 | GlobalMethods.cs] 12:26:16 PM: Created sims 4 type list.
[L757 | GlobalMethods.cs] 12:26:16 PM: Created sims 2 buy function sort list.
[L759 | GlobalMethods.cs] 12:26:16 PM: Created sims 2 build function sort.
[L760 | GlobalMethods.cs] 12:26:16 PM: Finished initializing.
[L87 | MainWindow.xaml.cs] 12:26:16 PM: Application running in debug mode.
[L25 | Packages_Initial.cs] 12:26:16 PM: Running Identify Packages.
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\000_OFFLINE_CAPTON_WaterEnhancementPack.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\2015SpaceCreate_Entended(2).package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\23e73018f4f10e8c1f10b60a81eb19b90001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\316df5b1e866aecde2daead944a4bbd90001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\476eff3f512a9608567c521e95bd0d1e0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\4f19571d82a88db0fccac585036f96150001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\519efb0cdbea4e62af9a08dc57ad4fad0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\6de73e75c63246f39ad97b87f3ad26f50001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\842ff97e3d38d32e6865aeb81869bfc70001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\90a87fb0052051d56792526e2f355cff0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\90cb50a1d90171cbdcbd24a4be8cdafd0001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\9aaf44ba07e1799c909a19da0e45ce570003.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\9f944cc3466be1288008822c5e9f48c80001.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\biggerplanes.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\BlahberryPancakePoisonIvyCirclet.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoalinatop.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoanjaskirt.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoarieldress.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoelstopjacketpattern.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoelstopjacketplain.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoelstopplain.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoemiliaskirt.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoinapants.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoivetskirt.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaomatildedress.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaomileytop.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoninadress.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\isjaoninashorts.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\iyaSTS4AccClapboardUNIringL.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\iyaSTS4ApiaPalm.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\iyaSTS4MarinaWalls.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\iyaSTS4NatiaPalm.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSMConversion_Anvil_10.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSMConversion_LongSword_1.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSMConversion_PirateFlask_1.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSM_ClawedFeetRoyalBathtub 2.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSM_MilitaryBathtub 2.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSM_PeasantBathtub 1.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSM_PeasantBathtub_NoCloth 1.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSM_PirateBathtub_1.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSM_RusticWell_9.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
[L30 | Packages_Initial.cs] 12:26:16 PM: Found M:\The Sims 4 (Documents)\TESTING FOLDER\Mspoodle_TSM_TredBathtub_1.package
[L33 | Packages_Initial.cs] 12:26:16 PM: This file is a package file.
[L36 | Packages_Initial.cs] 12:26:16 PM: Items in allPackages array: 0
